sl_no,judge_name,states,districts
375,N Jain,,Noney
376,N K Patiludicial Member,,Pherzawl
377,N K Sudhindrarao,,Senapati
378,N Kirubakaran,,Tamenglong
379,N Kumar,,Tengnoupal
380,N N Tiwari,,Thoubal
381,N Paul Vasanthakumar,,Ukhrul
382,N Rai,,East Garo Hills
383,N Seshasayee,,East Khasi Hills
384,N Sodhi,,East Jaintia Hills
385,N Sud,,North Garo Hills
386,N Tiwari,,Ri Bhoi
387,N V Anjaria,,South Garo Hills
388,N V Balasubramanian,,South West Garo Hills
389,N V Ramana,,South West Khasi Hills
390,Nan P Singh,,West Jaintia Hills
391,Nanaya Roy,,West Garo Hills
392,Narayan Shukla,,West Khasi Hills
393,Narendra Nath Tiwari,,Aizawl
394,Naresh H Patil,,Champhai
395,Nilu Agrawal,,Hnahthial
396,Nirmaljit Kaur,,Khawzawl
397,Nishita Mhatre,,Kolasib
398,P A Choudary,,Lawngtlai
399,P B Majmudar,,Lunglei
400,P B Pardiwala,,Mamit
401,P B Suresh Kumar,,Saiha
402,P Balasubramanyan,,Saitual
403,P Basu,,Serchhip
404,P Bhagwati,,Dimapur
405,P C Mishra,,Kiphire
406,P D Audikesavalu,,Kohima
407,P D Dinakaran,,Longleng
408,P D Dinakaran,,Mokokchung
409,V G Sabhahit,,Mon
410,P Jyothimani,,Noklak
411,P K Jaiswal,,Peren
412,P K Lohra,,Phek
413,P Kakade,,Tuensang
414,P Kohli,,Wokha
415,P Mohanty,,Zunheboto
416,P N Ravindran,,Angul
417,P P Bhatt,,Boudh (Bauda)
418,Janarthana Raja,,Bhadrak
419,K Raviraja Pandian,,Balangir
420,P Pasayat,,Bargarh (Baragarh)
421,P R Gokulakrishnan,,Balasore
422,P R Ramachandra Menon,,Cuttack
423,P R Shivakumar,,Debagarh (Deogarh)
424,P S Dinesh Kumar,,Dhenkanal
425,P S Rao,,Ganjam
426,P Sahay,,Gajapati
427,P Sathasivam,,Jharsuguda
428,P Singh,,Jajpur
429,P Ubaid,,Jagatsinghpur
430,P V Kakade,,Khordha
431,P Velmurugan,,Kendujhar (Keonjhar)
432,Pankaj Kumar Jaiswal,,Kalahandi
433,Paramjeet Singh,,Kandhamal
434,B P Dharmadhikari,,Koraput
435,Pinaki Chandra Ghose,,Kendrapara
436,Pius C Kuriakose,,Malkangiri
437,Prabha Devan,,Mayurbhanj
438,Prabhat Kumar Singh,,Nabarangpur
439,Prabhat Kumar Singhu,,Nuapada
440,Pradeep Nandrajog,,Nayagarh
441,Prasanna B Varale,,Puri
442,Pratap Singh,,Rayagada
443,Pratibha Rani,,Sambalpur
444,Principal Bench,,Subarnapur (Sonepur)
445,Pushpa Sathyanarayana,,Sundargarh
446,R Abichandani,,Amritsar
447,R Babu,,Barnala
448,R Banumathi,,Bathinda
449,R C Lahoti,,Firozpur
450,R C Mankad,,Faridkot
451,R C Trivedi,,Fatehgarh Sahib
452,R D Dhanuka,,Fazilka[14]
453,R Dinakaran,,Gurdaspur
