Sl_No,Kanoon_id,date
730,883393,
731,139299249,
732,193472,
733,82952267,
734,1263420,
735,225220,
736,337598,
737,64125650,
738,14620823,
739,2170300,
740,458726,
741,1959505,
742,87049238,
743,78176413,
744,79492089,
745,79920506,
746,133931,
747,64368976,
748,121617901,
749,66997693,
750,163873624,
751,153173763,
752,1609685,
753,116693208,
754,127517806,
755,165424743,
756,88565583,
757,2652975,
758,85351202,
759,87829727,
760,427985,
761,117289694,
762,1147741,
763,174133749,
764,118223514,
765,70366250,
766,10855991,
767,590436,
768,32655465,
769,152489252,
770,1630810,
771,1061913,
772,57207301,
773,1561164,
774,180525958,
775,71074317,
776,15191752,
777,69737342,
778,147190701,
779,99615583,
780,180957084,
781,18120523,
782,1879856,
783,196438984,
784,169953050,
785,187118987,
786,32540573,
787,158850650,
788,13337881,
789,38456929,
790,305801,
791,76503327,
792,27073389,
793,199426007,
794,106824304,
795,966727,
796,16278837,
797,66789370,
798,63422115,
799,137232163,
800,446472,
801,77092883,
802,156801337,
803,151107929,
804,50797257,
805,103052158,
806,1880679,
807,1177845,
808,229695,
809,9792959,
810,162654983,
811,982490,
812,162923872,
813,929541,
814,833338,
815,140200814,
816,152380641,
817,139712547,
818,126120275,
819,1762953,
820,61443145,
821,30407411,
822,24762939,
823,1774031,
824,892614,
825,168174727,
826,120225068,
827,64417330,
828,105455303,
829,1599374,
830,32429579,
831,47295425,
832,142395959,
833,97140779,
834,86955585,
835,75388051,
836,153142339,
837,170144098,
838,155383511,
839,133678227,
840,79933424,
841,131511238,
842,935950,
843,97997321,
844,178757236,
845,44793352,
846,1888504,
847,119830025,
848,99100166,
849,180615843,
850,51040693,
851,110375662,
852,84115,
853,1354109,
854,46758609,
855,477125,
856,101955042,
857,196260292,
858,111274258,
859,132164192,
860,144627006,
861,141236485,
862,166750076,
863,1977444,
864,83048908,
865,639961,
866,62368215,
867,32733852,
868,198112874,
869,20505733,
870,25784489,
871,191030133,
872,154006969,
873,43383463,
874,11366522,
875,181416866,
876,80768442,
877,12219745,
878,1900080,
879,1904350,
880,188384558,
881,1111195,
882,81885870,
883,176523849,
884,184541051,
885,77233069,
886,132685422,
887,910564,
888,1558646,
889,76601092,
890,177030477,
891,1304585,
892,1335907,
893,85034904,
894,185940089,
895,81862089,
896,44875846,
897,91407757,
898,154680664,
899,103726469,
900,135568541,
901,152754710,
902,1629216,
903,966664,
904,97809158,
905,129487459,
906,14748309,
907,52796551,
908,198111315,
909,17100922,
910,181757428,
911,1689289,
912,186010010,
913,137288188,
914,123698942,
915,95445839,
916,768255,
917,1551683,
918,100248025,
919,76789066,
920,85162655,
921,1744403,
922,705918,
923,1804613,
924,38812548,
925,74963475,
926,29219233,
927,110813550,
928,483754,
929,47918919,
930,147832012,
931,1408878,
932,174067528,
933,22480467,
934,756099,
935,1297422,
936,90883573,
937,784303,
938,25225751,
939,147358603,
940,53445616,
941,23213343,
942,35454161,
943,193195804,
944,98864672,
945,74433036,
946,2810522,
947,827110,
948,93541130,
949,1584533,
950,961130,
951,127152403,
952,19546395,
953,170584860,
954,1323472,
955,26352158,
956,172172009,
957,704409,
958,25728337,
959,32179467,
960,52266269,
961,110872046,
962,4097584,
963,143069297,
964,197353007,
965,5223512,
966,1419122,
967,56095455,
968,11474653,
969,87184489,
970,94997470,
971,78997174,
972,95394972,
973,199641289,
974,20875097,
975,53698053,
976,68722871,
977,69425638,
978,52170358,
979,23564442,
980,67366462,
981,17192206,
982,116320706,
983,87963724,
984,1217020,
985,356130,
986,666476,
987,1664729,
988,45508,
989,108617602,
990,14702118,
991,31703540,
992,161756265,
993,88050608,
994,103068119,
995,166774386,
996,566660,
997,96009520,
998,20978343,
999,118934089,
1000,119345590,
1001,130762594,
1002,107877984,
1003,122754834,
1004,128297408,
1005,23692238,
1006,24647569,
1007,66140373,
1008,1936596,
1009,54138425,
1010,1064806,
1011,1791413,
1012,192082219,
1013,11036933,
1014,573237,
1015,5066604,
1016,836201,
1017,64593783,
1018,143979185,
1019,125032519,
1020,86056089,
1021,1624143,
1022,64454742,
1023,152659831,
1024,194862167,
1025,129479302,
1026,47179880,
1027,1836240,
1028,1052896,
1029,837363,
1030,161138924,
1031,149332093,
1032,26227504,
1033,47930984,
1034,1911635,
1035,108751392,
1036,38553723,
1037,62483167,
1038,24884060,
1039,132277951,
1040,129858139,
1041,126969748,
1042,177557082,
1043,182450041,
1044,157105877,
1045,59643,
1046,625579,
1047,1488508,
1048,236227,
1049,1012351,
1050,87853562,
