Sl_No,Kanoon_id,date
616,69132800,15-Feb-17
617,68098,24-Sep-08
618,135152586,18-Mar-13
619,70663446,04-Sep-19
620,57050012,25-Mar-19
621,180404576,03-Dec-19
622,759406,28-Jul-10
623,11626,30-Sep-88
624,117868756,19-Jul-11
625,664725,08-Aug-01
626,922538,31-Oct-08
627,87615822,05-Aug-16
628,9756773,16-Jul-18
629,94923135,27-Jan-12
630,362894,22-Jul-98
631,586071,03-Aug-10
632,127046880,09-Apr-13
633,11994158,02-May-19
634,57275293,26-Dec-12
635,112360781,02-Aug-19
636,185808,24-Jan-86
637,132117955,06-Sep-13
638,1637420,30-Oct-02
639,186075,29-Sep-06
640,161340604,01-Nov-13
641,123860596,10-Aug-15
642,159046429,13-Nov-14
643,149632739,16-Oct-14
644,25258,18-Apr-95
645,1065363,09-Jan-97
646,82754866,11-Sep-12
647,1388400,04-Aug-10
648,1719198,05-Aug-09
649,156290728,19-Nov-19
650,7912648,27-Jun-19
651,93254244,23-Dec-09
652,14406,24-Aug-04
653,86711011,29-Sep-16
654,43811250,22-Oct-19
655,113942181,20-Sep-12
656,165225831,05-Dec-17
657,9814484,14-Nov-18
658,72923507,26-Dec-12
659,1314958,02-Jul-01
660,160831025,02-Aug-17
661,113119677,12-Jul-11
662,13537505,04-Oct-18
663,1849002,29-Apr-94
664,2806990,01-Sep-17
665,463266,30-May-97
666,146960269,07-Dec-17
667,144466989,29-Sep-16
668,156167610,17-Apr-17
669,330279,05-May-95
670,1363767,22-Jul-91
671,60055340,08-Feb-12
672,885425,06-Aug-87
673,25001391,14-Jun-11
674,166876296,15-Nov-11
675,14786988,07-Oct-16
676,12348374,03-Dec-14
677,143772474,22-Aug-19
678,73185721,28-May-20
679,1792452,19-Sep-08
680,25384032,09-Jan-14
681,134692170,17-May-17
682,1191661,21-Feb-07
683,177954677,13-Nov-18
684,324892,02-Aug-02
685,47239023,20-Feb-13
686,81091491,22-Jun-16
687,1590470,01-Sep-99
688,171594204,15-Feb-17
689,160461584,17-Dec-09
690,99295005,14-May-13
691,183878290,23-Jan-18
692,154188161,08-Aug-13
693,130098986,11-Jan-19
694,271510,15-Jun-06
695,98303609,10-Jul-14
696,9814805,30-May-18
697,23048804,22-May-12
698,716041,13-Sep-07
699,58003943,13-Mar-14
700,196893265,06-Dec-13
701,985034,02-Mar-07
702,420149,27-May-88
703,197914504,24-Oct-13
704,37761444,31-Aug-18
705,96327127,20-Aug-10
706,1964045,15-Nov-02
707,176687366,02-Apr-14
708,162917990,25-Nov-19
709,69486353,02-Sep-16
710,172658265,19-Jul-16
711,1416566,21-Jul-92
712,121579361,14-Dec-15
713,159411520,22-Jan-15
714,191597707,06-Jul-12
715,403966,15-Jul-09
716,178566076,26-Nov-15
717,310600,08-Feb-06
718,1741514,18-Jun-03
719,65794558,19-Sep-18
720,139108441,24-Jul-13
721,605517,11-Dec-08
722,63428441,05-Jan-18
723,89757253,06-May-16
724,20973217,11-Dec-18
725,175692890,18-Aug-15
726,1146608,05-Jan-01
727,192715669,09-Jan-20
728,128855672,28-May-09
729,145027611,18-Jun-18
730,883393,20-Dec-10
731,139299249,30-Jul-14
732,193472,10-Dec-03
733,82952267,01-Jul-09
734,1263420,30-Nov-89
735,225220,15-Dec-08
736,337598,15-Jul-08
737,64125650,11-Nov-13
738,14620823,28-Feb-20
739,2170300,26-Dec-12
740,458726,04-Jan-02
741,1959505,08-Oct-90
742,87049238,05-Oct-06
743,78176413,06-Sep-18
744,79492089,05-Mar-14
745,79920506,18-May-17
746,133931,31-Jul-97
747,64368976,20-Aug-10
748,121617901,04-Aug-15
749,66997693,04-Apr-14
750,163873624,03-Jul-15
751,153173763,28-Sep-16
752,1609685,21-Apr-95
753,116693208,20-Aug-10
754,127517806,26-Sep-18
755,165424743,08-Nov-18
756,88565583,29-Sep-16
757,2652975,22-Jul-19
758,85351202,06-Aug-20
759,87829727,20-Jun-16
760,427985,19-Feb-08
761,117289694,30-Mar-12
762,1147741,16-Nov-00
763,174133749,27-Jul-17
764,118223514,09-Oct-18
765,70366250,16-May-12
766,10855991,16-Mar-18
767,590436,28-Jul-10
768,32655465,20-Aug-10
769,152489252,07-Jul-17
770,1630810,05-Oct-07
771,1061913,29-Sep-97
772,57207301,05-Aug-02
773,1561164,20-Oct-04
774,180525958,15-Nov-18
775,71074317,23-Aug-11
776,15191752,29-Sep-16
777,69737342,25-Apr-18
778,147190701,05-May-15
779,99615583,16-Mar-18
780,180957084,
781,18120523,31-Jul-18
782,1879856,30-Mar-06
783,196438984,01-Nov-12
784,169953050,23-Sep-14
785,187118987,25-Sep-17
786,32540573,02-Apr-18
787,158850650,17-Sep-13
788,13337881,01-Mar-12
789,38456929,23-Aug-17
790,305801,28-Oct-91
791,76503327,28-Jun-18
792,27073389,29-Apr-14
793,199426007,19-Aug-09
794,106824304,29-Sep-16
795,966727,24-Sep-91
796,16278837,06-May-14
797,66789370,19-Mar-10
798,63422115,20-Dec-07
799,137232163,04-Sep-13
800,446472,12-Dec-90
801,77092883,17-May-12
802,156801337,19-Jan-17
803,151107929,11-Apr-17
804,50797257,19-Jul-16
805,103052158,11-Apr-19
806,1880679,30-Sep-94
807,1177845,21-Jan-10
808,229695,15-Sep-09
809,9792959,20-Jul-10
810,162654983,13-Feb-14
811,982490,22-Dec-94
812,162923872,05-Jan-18
813,929541,18-Jul-05
814,833338,29-Oct-08
815,140200814,16-Feb-18
816,152380641,04-Sep-13
817,139712547,31-May-19
818,126120275,02-Feb-12
819,1762953,10-Apr-89
820,61443145,20-Dec-13
821,30407411,22-Aug-14
822,24762939,27-Mar-18
823,1774031,24-Nov-03
824,892614,27-Feb-89
825,168174727,28-Jun-18
826,120225068,01-Aug-17
827,64417330,29-Sep-16
828,105455303,16-Dec-14
829,1599374,17-Feb-86
830,32429579,05-Jan-18
831,47295425,24-Apr-17
832,142395959,12-Aug-09
833,97140779,17-Jul-19
834,86955585,12-Jul-11
835,75388051,18-Feb-14
836,153142339,11-Jan-13
837,170144098,01-Aug-19
838,155383511,05-Aug-14
839,133678227,24-Sep-18
840,79933424,22-Jul-20
841,131511238,21-Aug-13
842,935950,02-Sep-08
843,97997321,15-Jun-20
844,178757236,28-Sep-16
845,44793352,16-Nov-18
846,1888504,09-Dec-99
847,119830025,06-May-14
848,99100166,01-Aug-11
849,180615843,24-Nov-16
850,51040693,29-Sep-16
851,110375662,04-Sep-18
852,84115,04-Mar-94
853,1354109,07-Sep-92
854,46758609,26-Dec-12
855,477125,30-May-03
856,101955042,27-Feb-20
857,196260292,31-Jul-19
858,111274258,05-Jan-18
859,132164192,11-May-17
860,144627006,19-Mar-14
861,141236485,08-Feb-16
862,166750076,27-Jul-17
863,1977444,26-Jul-10
864,83048908,13-Mar-18
865,639961,13-Aug-09
866,62368215,25-Apr-17
867,32733852,01-Jul-14
868,198112874,15-Apr-19
869,20505733,30-Sep-11
870,25784489,12-Apr-19
871,191030133,12-Apr-19
872,154006969,13-Dec-01
873,43383463,30-Aug-19
874,11366522,08-Jul-15
875,181416866,07-Nov-14
876,80768442,29-Sep-16
877,12219745,10-Jul-14
878,1900080,11-Aug-10
879,1904350,18-Sep-03
880,188384558,29-Oct-19
881,1111195,06-Nov-92
882,81885870,21-Nov-18
883,176523849,12-Dec-18
884,184541051,08-Jun-18
885,77233069,11-Jul-08
886,132685422,09-Sep-20
887,910564,16-Oct-89
888,1558646,30-Jul-88
889,76601092,19-Apr-12
890,177030477,24-Oct-13
891,1304585,29-Jan-10
892,1335907,05-Nov-99
893,85034904,05-Jan-18
